dataset,family,feature,consensus,reference value,tolerance,your result,difference,check,tag
configuration B,Diagnostics-resegmented ROI,Int. mask dimension x,6-9,100,1,,,,int_mask_dim_x_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask dimension y,6-9,99,0.8,,,,int_mask_dim_y_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask dimension z,6-9,60,0,,,,int_mask_dim_z_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask bounding box dimension x,6-9,49,0.3,,,,int_mask_bb_dim_x_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask bounding box dimension y,6-9,49,0.3,,,,int_mask_bb_dim_y_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask bounding box dimension z,6-9,26,0,,,,int_mask_bb_dim_z_reseg_roi
configuration B,Diagnostics-resegmented ROI,Morph. mask bounding box dimension x,6-9,49,0.3,,,,morph_mask_bb_dim_x_reseg_roi
configuration B,Diagnostics-resegmented ROI,Morph. mask bounding box dimension y,6-9,49,0.3,,,,morph_mask_bb_dim_y_reseg_roi
configuration B,Diagnostics-resegmented ROI,Morph. mask bounding box dimension z,6-9,26,0,,,,morph_mask_bb_dim_z_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask voxel count,6-9,27359,300,,,,int_mask_vox_count_reseg_roi
configuration B,Diagnostics-resegmented ROI,Morph. mask voxel count,6-9,29842,400,,,,morph_mask_vox_count_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask mean intensity,6-9,11.5,1.1,,,,int_mask_mean_int_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask minimum intensity,6-9,-500,0,,,,int_mask_min_int_reseg_roi
configuration B,Diagnostics-resegmented ROI,Int. mask maximum intensity,6-9,391,9,,,,int_mask_max_int_reseg_roi
configuration B,Morphology,Volume (mesh),≥ 10,358000,5000,,,,morph_volume
configuration B,Morphology,Volume (voxel counting),6-9,358000,5000,,,,morph_vol_approx
configuration B,Morphology,Surface area (mesh),6-9,33700,300,,,,morph_area_mesh
configuration B,Morphology,Surface to volume ratio,6-9,0.0944,0.0005,,,,morph_av
configuration B,Morphology,Compactness 1,6-9,0.0326,0.0001,,,,morph_comp_1
configuration B,Morphology,Compactness 2,6-9,0.377,0.001,,,,morph_comp_2
configuration B,Morphology,Spherical disproportion,6-9,1.38,0.01,,,,morph_sph_dispr
configuration B,Morphology,Sphericity,6-9,0.722,0.001,,,,morph_sphericity
configuration B,Morphology,Asphericity,6-9,0.385,0.001,,,,morph_asphericity
configuration B,Morphology,Centre of mass shift,6-9,63.1,29.6,,,,morph_com
configuration B,Morphology,Maximum 3D diameter,6-9,125,1,,,,morph_diam
configuration B,Morphology,Major axis length,6-9,92.6,0.4,,,,morph_pca_maj_axis
configuration B,Morphology,Minor axis length,6-9,81.3,0.4,,,,morph_pca_min_axis
configuration B,Morphology,Least axis length,6-9,70.2,0.3,,,,morph_pca_least_axis
configuration B,Morphology,Elongation,6-9,0.878,0.001,,,,morph_pca_elongation
configuration B,Morphology,Flatness,6-9,0.758,0.001,,,,morph_pca_flatness
configuration B,Morphology,Volume density (AABB),6-9,0.477,0.003,,,,morph_vol_dens_aabb
configuration B,Morphology,Area density (AABB),6-9,0.678,0.003,,,,morph_area_dens_aabb
configuration B,Morphology,Volume density (OMBB),not standardized,,,,,,morph_vol_dens_ombb
configuration B,Morphology,Area density (OMBB),not standardized,,,,,,morph_area_dens_ombb
configuration B,Morphology,Volume density (AEE),6-9,1.29,0.01,,,,morph_vol_dens_aee
configuration B,Morphology,Area density (AEE),3-5,1.62,0.01,,,,morph_area_dens_aee
configuration B,Morphology,Volume density (MVEE),not standardized,,,,,,morph_vol_dens_mvee
configuration B,Morphology,Area density (MVEE),not standardized,,,,,,morph_area_dens_mvee
configuration B,Morphology,Volume density (convex hull),3-5,0.829,0.001,,,,morph_vol_dens_conv_hull
configuration B,Morphology,Area density (convex hull),3-5,1.12,0.01,,,,morph_area_dens_conv_hull
configuration B,Morphology,Integrated intensity,6-9,4120000,320000,,,,morph_integ_int
configuration B,Morphology,Moran's I index,3-5,0.0329,0.0001,,,,morph_moran_i
configuration B,Morphology,Geary's C measure,3-5,0.862,0.001,,,,morph_geary_c
configuration B,Local intensity,Local intensity peak,3-5,178,10,,,,loc_peak_loc
configuration B,Local intensity,Global intensity peak,3-5,178,5,,,,loc_peak_glob
configuration B,Statistics,Mean,≥ 10,11.5,1.1,,,,stat_mean
configuration B,Statistics,Variance,≥ 10,14400,400,,,,stat_var
configuration B,Statistics,Skewness,≥ 10,-2.49,0.05,,,,stat_skew
configuration B,Statistics,(Excess) kurtosis,≥ 10,5.93,0.24,,,,stat_kurt
configuration B,Statistics,Median,6-9,45,0.3,,,,stat_median
configuration B,Statistics,Minimum,≥ 10,-500,0,,,,stat_min
configuration B,Statistics,10th percentile,6-9,-136,8,,,,stat_p10
configuration B,Statistics,90th percentile,6-9,91,0,,,,stat_p90
configuration B,Statistics,Maximum,6-9,391,9,,,,stat_max
configuration B,Statistics,Interquartile range,6-9,52,0.5,,,,stat_iqr
configuration B,Statistics,Range,6-9,891,9,,,,stat_range
configuration B,Statistics,Mean absolute deviation,6-9,74.4,1.4,,,,stat_mad
configuration B,Statistics,Robust mean absolute deviation,6-9,27.3,0.8,,,,stat_rmad
configuration B,Statistics,Median absolute deviation,6-9,63.8,1,,,,stat_medad
configuration B,Statistics,Coefficient of variation,6-9,10.4,5.2,,,,stat_cov
configuration B,Statistics,Quartile coefficient of dispersion,6-9,0.591,0.008,,,,stat_qcod
configuration B,Statistics,Energy,6-9,398000000,11000000,,,,stat_energy
configuration B,Statistics,Root mean square,6-9,121,2,,,,stat_rms
configuration B,Intensity histogram,Mean,6-9,18.9,0.3,,,,ih_mean
configuration B,Intensity histogram,Variance,6-9,18.7,0.2,,,,ih_var
configuration B,Intensity histogram,Skewness,6-9,-2.47,0.05,,,,ih_skew
configuration B,Intensity histogram,(Excess) kurtosis,6-9,5.84,0.24,,,,ih_kurt
configuration B,Intensity histogram,Median,6-9,20,0.3,,,,ih_median
configuration B,Intensity histogram,Minimum,6-9,1,0,,,,ih_min
configuration B,Intensity histogram,10th percentile,6-9,14,0.5,,,,ih_p10
configuration B,Intensity histogram,90th percentile,6-9,22,0.3,,,,ih_p90
configuration B,Intensity histogram,Maximum,6-9,32,0,,,,ih_max
configuration B,Intensity histogram,Mode,6-9,20,0.3,,,,ih_mode
configuration B,Intensity histogram,Interquartile range,6-9,2,0,,,,ih_iqr
configuration B,Intensity histogram,Range,6-9,31,0,,,,ih_range
configuration B,Intensity histogram,Mean absolute deviation,6-9,2.67,0.03,,,,ih_mad
configuration B,Intensity histogram,Robust mean absolute deviation,3-5,1.03,0.03,,,,ih_rmad
configuration B,Intensity histogram,Median absolute deviation,6-9,2.28,0.02,,,,ih_medad
configuration B,Intensity histogram,Coefficient of variation,6-9,0.229,0.004,,,,ih_cov
configuration B,Intensity histogram,Quartile coefficient of dispersion,6-9,0.05,0.0005,,,,ih_qcod
configuration B,Intensity histogram,Entropy,6-9,3.16,0.01,,,,ih_entropy
configuration B,Intensity histogram,Uniformity,6-9,0.174,0.001,,,,ih_uniformity
configuration B,Intensity histogram,Maximum histogram gradient,6-9,3220,50,,,,ih_max_grad
configuration B,Intensity histogram,Maximum histogram gradient intensity,6-9,19,0.3,,,,ih_max_grad_g
configuration B,Intensity histogram,Minimum histogram gradient,6-9,-3020,50,,,,ih_min_grad
configuration B,Intensity histogram,Minimum histogram gradient intensity,6-9,22,0.3,,,,ih_min_grad_g
configuration B,Intensity volume histogram,Volume fraction at 10% intensity,6-9,0.977,0.001,,,,ivh_v10
configuration B,Intensity volume histogram,Volume fraction at 90% intensity,6-9,0.0000731,0.0000103,,,,ivh_v90
configuration B,Intensity volume histogram,Intensity at 10% volume,6-9,92,0,,,,ivh_i10
configuration B,Intensity volume histogram,Intensity at 90% volume,6-9,-135,8,,,,ivh_i90
configuration B,Intensity volume histogram,Volume fraction difference between 10% and 90% intensity,6-9,0.977,0.001,,,,ivh_diff_v10_v90
configuration B,Intensity volume histogram,Intensity difference between 10% and 90% volume,6-9,227,8,,,,ivh_diff_i10_i90
configuration B,Intensity volume histogram,Area under the IVH curve,not standardized,,,,,,ivh_auc
configuration B,"Co-occurrence matrix (2D, averaged)",Joint maximum,6-9,0.156,0.002,,,,cm_joint_max_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Joint average,6-9,18.7,0.3,,,,cm_joint_avg_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Joint variance,6-9,21,0.3,,,,cm_joint_var_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Joint entropy,6-9,5.26,0.02,,,,cm_joint_entr_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Difference average,6-9,1.81,0.01,,,,cm_diff_avg_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Difference variance,6-9,7.74,0.05,,,,cm_diff_var_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Difference entropy,6-9,2.35,0.01,,,,cm_diff_entr_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Sum average,6-9,37.4,0.5,,,,cm_sum_avg_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Sum variance,6-9,72.1,1,,,,cm_sum_var_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Sum entropy,6-9,3.83,0.01,,,,cm_sum_entr_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Angular second moment,6-9,0.0678,0.0006,,,,cm_energy_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Contrast,6-9,11.9,0.1,,,,cm_contrast_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Dissimilarity,6-9,1.81,0.01,,,,cm_dissimilarity_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Inverse difference,6-9,0.592,0.001,,,,cm_inv_diff_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Normalised inverse difference,6-9,0.952,0.001,,,,cm_inv_diff_norm_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Inverse difference moment,6-9,0.557,0.001,,,,cm_inv_diff_mom_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Normalised inverse difference moment,6-9,0.99,0.001,,,,cm_inv_diff_mom_norm_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Inverse variance,6-9,0.401,0.002,,,,cm_inv_var_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Correlation,6-9,0.577,0.002,,,,cm_corr_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Autocorrelation,6-9,369,11,,,,cm_auto_corr_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Cluster tendency,6-9,72.1,1,,,,cm_clust_tend_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Cluster shade,6-9,-668,17,,,,cm_clust_shade_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Cluster prominence,6-9,29400,1400,,,,cm_clust_prom_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Information correlation 1,6-9,-0.239,0.001,,,,cm_info_corr1_2D_avg
configuration B,"Co-occurrence matrix (2D, averaged)",Information correlation 2,6-9,0.837,0.001,,,,cm_info_corr2_2D_avg
configuration B,"Co-occurrence matrix (2D, slice-merged)",Joint maximum,6-9,0.156,0.002,,,,cm_joint_max_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Joint average,6-9,18.7,0.3,,,,cm_joint_avg_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Joint variance,6-9,21,0.3,,,,cm_joint_var_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Joint entropy,6-9,5.45,0.01,,,,cm_joint_entr_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Difference average,6-9,1.81,0.01,,,,cm_diff_avg_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Difference variance,6-9,7.76,0.05,,,,cm_diff_var_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Difference entropy,6-9,2.38,0.01,,,,cm_diff_entr_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Sum average,6-9,37.4,0.5,,,,cm_sum_avg_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Sum variance,6-9,72.3,1,,,,cm_sum_var_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Sum entropy,6-9,3.89,0.01,,,,cm_sum_entr_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Angular second moment,6-9,0.0669,0.0006,,,,cm_energy_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Contrast,6-9,11.8,0.1,,,,cm_contrast_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Dissimilarity,6-9,1.81,0.01,,,,cm_dissimilarity_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Inverse difference,6-9,0.593,0.001,,,,cm_inv_diff_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Normalised inverse difference,6-9,0.952,0.001,,,,cm_inv_diff_norm_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Inverse difference moment,6-9,0.558,0.001,,,,cm_inv_diff_mom_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Normalised inverse difference moment,6-9,0.99,0.001,,,,cm_inv_diff_mom_norm_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Inverse variance,6-9,0.401,0.002,,,,cm_inv_var_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Correlation,6-9,0.58,0.002,,,,cm_corr_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Autocorrelation,6-9,369,11,,,,cm_auto_corr_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Cluster tendency,6-9,72.3,1,,,,cm_clust_tend_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Cluster shade,6-9,-673,17,,,,cm_clust_shade_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Cluster prominence,6-9,29500,1400,,,,cm_clust_prom_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Information correlation 1,6-9,-0.181,0.001,,,,cm_info_corr1_2D_comb
configuration B,"Co-occurrence matrix (2D, slice-merged)",Information correlation 2,6-9,0.792,0.001,,,,cm_info_corr2_2D_comb
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Joint maximum,6-9,0.126,0.002,,,,cm_joint_max_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Joint average,6-9,19.2,0.3,,,,cm_joint_avg_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Joint variance,6-9,14.2,0.1,,,,cm_joint_var_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Joint entropy,6-9,5.45,0.01,,,,cm_joint_entr_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Difference average,6-9,1.47,0.01,,,,cm_diff_avg_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Difference variance,6-9,6.48,0.06,,,,cm_diff_var_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Difference entropy,3-5,2.24,0.01,,,,cm_diff_entr_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Sum average,6-9,38.5,0.6,,,,cm_sum_avg_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Sum variance,6-9,48.1,0.4,,,,cm_sum_var_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Sum entropy,6-9,3.91,0.01,,,,cm_sum_entr_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Angular second moment,6-9,0.0581,0.0006,,,,cm_energy_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Contrast,6-9,8.66,0.09,,,,cm_contrast_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Dissimilarity,6-9,1.47,0.01,,,,cm_dissimilarity_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Inverse difference,6-9,0.628,0.001,,,,cm_inv_diff_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Normalised inverse difference,6-9,0.96,0.001,,,,cm_inv_diff_norm_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Inverse difference moment,6-9,0.6,0.001,,,,cm_inv_diff_mom_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Normalised inverse difference moment,6-9,0.992,0.001,,,,cm_inv_diff_mom_norm_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Inverse variance,6-9,0.424,0.003,,,,cm_inv_var_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Correlation,6-9,0.693,0.003,,,,cm_corr_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Autocorrelation,6-9,380,11,,,,cm_auto_corr_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Cluster tendency,6-9,48.1,0.4,,,,cm_clust_tend_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Cluster shade,6-9,-905,19,,,,cm_clust_shade_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Cluster prominence,6-9,25200,1000,,,,cm_clust_prom_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Information correlation 1,6-9,-0.188,0.001,,,,cm_info_corr1_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, direction-merged)",Information correlation 2,6-9,0.821,0.001,,,,cm_info_corr2_2_5D_avg
configuration B,"Co-occurrence matrix (2.5D, merged)",Joint maximum,6-9,0.126,0.002,,,,cm_joint_max_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Joint average,6-9,19.2,0.3,,,,cm_joint_avg_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Joint variance,6-9,14.2,0.1,,,,cm_joint_var_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Joint entropy,6-9,5.46,0.01,,,,cm_joint_entr_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Difference average,6-9,1.47,0.01,,,,cm_diff_avg_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Difference variance,6-9,6.48,0.06,,,,cm_diff_var_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Difference entropy,6-9,2.24,0.01,,,,cm_diff_entr_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Sum average,6-9,38.5,0.6,,,,cm_sum_avg_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Sum variance,6-9,48.1,0.4,,,,cm_sum_var_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Sum entropy,6-9,3.91,0.01,,,,cm_sum_entr_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Angular second moment,6-9,0.058,0.0006,,,,cm_energy_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Contrast,6-9,8.65,0.09,,,,cm_contrast_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Dissimilarity,6-9,1.47,0.01,,,,cm_dissimilarity_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Inverse difference,6-9,0.628,0.001,,,,cm_inv_diff_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Normalised inverse difference,6-9,0.96,0.001,,,,cm_inv_diff_norm_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Inverse difference moment,6-9,0.6,0.001,,,,cm_inv_diff_mom_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Normalised inverse difference moment,6-9,0.992,0.001,,,,cm_inv_diff_mom_norm_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Inverse variance,6-9,0.424,0.003,,,,cm_inv_var_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Correlation,6-9,0.695,0.003,,,,cm_corr_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Autocorrelation,6-9,380,11,,,,cm_auto_corr_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Cluster tendency,6-9,48.1,0.4,,,,cm_clust_tend_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Cluster shade,6-9,-906,19,,,,cm_clust_shade_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Cluster prominence,6-9,25300,1000,,,,cm_clust_prom_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Information correlation 1,6-9,-0.185,0.001,,,,cm_info_corr1_2_5D_comb
configuration B,"Co-occurrence matrix (2.5D, merged)",Information correlation 2,6-9,0.819,0.001,,,,cm_info_corr2_2_5D_comb
configuration B,"Run length matrix (2D, averaged)",Short runs emphasis,6-9,0.781,0.001,,,,rlm_sre_2D_avg
configuration B,"Run length matrix (2D, averaged)",Long runs emphasis,6-9,3.52,0.04,,,,rlm_lre_2D_avg
configuration B,"Run length matrix (2D, averaged)",Low grey level run emphasis,6-9,0.0331,0.0006,,,,rlm_lgre_2D_avg
configuration B,"Run length matrix (2D, averaged)",High grey level run emphasis,6-9,342,11,,,,rlm_hgre_2D_avg
configuration B,"Run length matrix (2D, averaged)",Short run low grey level emphasis,6-9,0.0314,0.0006,,,,rlm_srlge_2D_avg
configuration B,"Run length matrix (2D, averaged)",Short run high grey level emphasis,6-9,251,8,,,,rlm_srhge_2D_avg
configuration B,"Run length matrix (2D, averaged)",Long run low grey level emphasis,6-9,0.0443,0.0008,,,,rlm_lrlge_2D_avg
configuration B,"Run length matrix (2D, averaged)",Long run high grey level emphasis,6-9,1390,30,,,,rlm_lrhge_2D_avg
configuration B,"Run length matrix (2D, averaged)",Grey level non-uniformity,6-9,107,1,,,,rlm_glnu_2D_avg
configuration B,"Run length matrix (2D, averaged)",Normalised grey level non-uniformity,6-9,0.145,0.001,,,,rlm_glnu_norm_2D_avg
configuration B,"Run length matrix (2D, averaged)",Run length non-uniformity,6-9,365,3,,,,rlm_rlnu_2D_avg
configuration B,"Run length matrix (2D, averaged)",Normalised run length non-uniformity,6-9,0.578,0.001,,,,rlm_rlnu_norm_2D_avg
configuration B,"Run length matrix (2D, averaged)",Run percentage,6-9,0.681,0.002,,,,rlm_r_perc_2D_avg
